27.3824,593.1395,-21.6614
44.8027,-1247.7936,27.8509
87.9458,-6890.8159,78.353
39.3698,-5147.5259,130.7482
33.0975,-6820.7925,206.0821
57.9917,-16730.3906,288.4963
36.063,-14139.8691,392.0885
35.1925,-16977.498,482.4186
33.852,-20868.7891,616.4706
35.1639,-25435.6133,723.3436
20.0063,-16415.3652,820.5113
36.4824,-35129.1445,962.9069
57.425,-63997.9609,1114.4609
33.0055,-41520.6641,1257.9911
30.4579,-42634.0781,1399.7716
22.8909,-34412.9727,1503.3479
58.203,-96064.2422,1650.5039
28.8669,-50102.1719,1735.6278
27.8847,-50655.793,1816.6151
39.1057,-73475.3047,1878.8889
15.4882,-29791.9551,1923.5209
17.708,-34660.1523,1957.3113
25.9949,-51472.7773,1980.1086
54.7999,-109226.3516,1993.1837
30.4213,-60868.582,2000.8525
36.3427,-72873.2344,2005.167
47.3722,-95094.1641,2007.3845
30.7768,-61816.6992,2008.5475
45.1264,-90660.7734,2009.0428
44.7435,-89902.8672,2009.2942
26.9225,-54096.3398,2009.332
48.7706,-97999.4219,2009.3972
44.6555,-89729.9062,2009.3815
